CGPA,Package (LPA)
6.87,13.81
9.75,18.52
8.66,20.54
7.99,16.93
5.78,8.52
5.78,11.84
5.29,9.59
9.33,19.94
8.01,14.83
8.54,16.91
5.1,10.96
9.85,21.0
9.16,16.52
6.06,11.62
5.91,11.11
5.92,10.86
6.52,15.69
7.62,15.85
7.16,12.43
6.46,14.3
8.06,19.3
5.7,12.95
6.46,10.64
6.83,12.93
7.28,16.46
8.93,16.8
6.0,12.67
7.57,16.3
7.96,14.53
5.23,10.37
8.04,11.22
5.85,10.16
5.33,10.28
9.74,17.61
9.83,22.11
9.04,15.93
6.52,12.38
5.49,11.18
8.42,19.0
7.2,12.25
5.61,12.96
7.48,14.98
5.17,8.87
9.55,19.79
6.29,12.88
8.31,15.72
6.56,13.22
7.6,14.62
7.73,15.63
5.92,12.83
9.85,22.08
8.88,15.9
9.7,22.6
9.47,16.01
7.99,15.75
9.61,20.1
5.44,11.3
5.98,11.03
5.23,10.15
6.63,12.52
6.94,13.0
6.36,13.99
9.14,18.82
6.78,12.52
6.4,14.15
7.71,15.88
5.7,12.62
9.01,18.96
5.37,9.5
9.93,19.02
8.86,18.84
5.99,12.9
5.03,10.03
9.08,18.34
8.53,18.98
8.65,16.41
8.86,18.54
5.37,10.44
6.79,13.25
5.58,12.81
9.32,19.88
8.12,17.46
6.65,15.26
5.32,10.67
6.55,14.12
6.63,12.79
8.65,17.79
8.19,16.18
9.44,19.03
7.36,15.61
5.6,9.97
8.57,20.28
8.8,16.09
7.81,13.8
8.85,19.44
7.47,16.13
7.61,16.16
7.14,15.22
5.13,10.24
5.54,9.73
5.16,10.43
8.18,15.34
6.57,14.6
7.54,14.86
9.54,17.84
6.25,12.02
7.05,14.72
8.78,16.71
6.14,11.05
5.38,11.13
6.45,13.27
5.81,10.86
9.65,18.59
9.04,18.43
8.17,14.17
9.36,16.61
9.02,16.96
5.93,11.54
9.46,19.39
7.7,17.61
9.04,19.37
9.48,18.72
6.59,13.15
5.55,9.6
6.14,12.25
7.14,13.85
9.09,18.66
9.3,17.36
5.03,10.84
7.55,17.4
7.09,14.02
6.11,12.82
5.6,12.24
6.69,12.78
9.71,19.76
6.62,13.26
7.59,15.33
8.52,15.88
6.82,13.68
9.86,20.47
9.81,21.8
6.26,13.96
7.49,18.21
6.5,11.85
6.42,14.15
5.18,10.64
8.05,19.38
7.51,13.81
5.26,9.26
6.39,11.88
9.54,15.89
6.2,11.61
5.72,10.3
7.45,15.13
9.93,20.37
6.21,15.23
8.36,18.15
8.81,16.75
6.19,11.03
8.64,18.02
6.84,11.7
8.16,19.07
8.17,18.11
7.68,14.66
5.45,8.33
9.18,20.39
6.6,13.03
5.93,13.72
5.2,8.01
7.95,15.0
8.39,16.79
5.08,10.23
7.56,14.44
6.13,13.19
8.23,14.86
5.87,11.53
8.45,17.08
6.93,14.63
9.68,20.43
5.69,9.69
6.71,11.12
5.57,13.06
9.62,19.74
9.39,17.66
6.29,14.91
8.3,16.77
9.09,19.95
7.78,15.66
7.65,18.39
6.21,15.05
5.47,10.57
9.49,20.44
9.5,19.97
8.17,18.39
6.7,11.95
6.75,14.53
8.63,18.85
9.49,16.34
9.44,17.11
8.9,14.74
8.21,16.02
5.42,11.92
5.81,13.87
9.49,19.09
8.03,18.5
5.05,8.03
5.51,8.46
8.32,16.56
5.03,10.64
5.8,11.55
7.74,12.38
8.46,16.79
8.26,14.56
6.12,13.24
8.56,17.67
6.19,10.97
6.63,12.49
8.73,15.87
8.25,16.41
9.25,19.93
8.29,15.1
7.84,16.44
5.47,10.14
6.84,12.49
6.33,12.5
6.22,10.89
9.87,18.91
6.97,12.14
9.46,21.87
8.16,16.37
8.97,16.89
7.51,15.34
7.88,15.59
7.46,14.59
5.98,12.88
8.61,18.36
6.4,12.0
5.12,9.38
8.23,16.05
5.89,8.33
9.7,17.13
9.77,21.59
9.57,21.61
6.85,13.33
5.08,11.02
9.64,19.75
7.14,18.9
9.83,21.34
9.82,19.45
9.27,17.11
6.47,10.53
6.93,14.17
9.26,17.39
6.58,11.03
5.85,10.73
7.78,13.94
9.68,21.89
8.48,18.28
7.85,15.69
5.49,13.2
8.08,16.28
9.95,18.61
5.7,13.68
7.59,15.99
9.39,17.22
8.7,17.11
8.49,15.67
8.51,14.95
6.8,14.99
6.47,15.8
9.05,16.0
9.05,18.94
9.34,17.7
9.57,18.41
7.56,14.23
7.51,13.72
8.99,18.05
8.25,15.25
8.51,17.43
8.98,17.88
9.45,18.54
6.69,12.02
6.88,12.89
5.47,12.07
7.89,16.53
5.18,8.89
7.33,14.81
7.71,16.55
6.43,10.36
7.95,16.72
5.15,9.31
5.19,11.24
9.11,17.08
6.8,10.89
5.64,8.84
7.61,15.29
8.85,18.09
6.08,10.8
8.11,17.18
5.43,8.37
